table_id,staff_id,start_time,end_time,activity_type
56,F,2021-08-18 17:13:06,2021-08-18 17:13:25,S
51,HO,2021-08-18 17:15:44,2021-08-18 17:15:53,C
56,HO,2021-08-18 17:19:16,2021-08-18 17:19:22,S
35,HO,2021-08-18 17:20:54,2021-08-18 17:20:57,W
56,HO,2021-08-18 17:21:17,2021-08-18 17:21:20,S
35,HO,2021-08-18 17:27:28,2021-08-18 17:28:03,O
54,HO,2021-08-18 17:29:49,2021-08-18 17:30:00,W
56,F2,2021-08-18 17:31:28,2021-08-18 17:31:32,S
54,O,2021-08-18 17:33:59,2021-08-18 17:36:37,S-O
35,HO,2021-08-18 17:35:10,2021-08-18 17:35:29,O
B1,HO,2021-08-18 17:36:51,2021-08-18 17:37:30,W
54,O,2021-08-18 17:37:35,2021-08-18 17:37:47,O
56,O,2021-08-18 17:38:41,2021-08-18 17:38:50,S
B1,H ,2021-08-18 17:39:59,2021-08-18 17:40:13,O
35,H,2021-08-18 17:41:45,2021-08-18 17:41:53,Cutlery
54,HO,2021-08-18 17:46:08,2021-08-18 17:46:15,S
B1,Q,2021-08-18 17:46:15,2021-08-18 17:46:34,S
35,HM,2021-08-18 17:49:17,2021-08-18 17:49:25,S
35,HO,2021-08-18 17:51:28,2021-08-18 17:51:53,O
56,Q,2021-08-18 17:53:10,2021-08-18 17:53:39,S-R
35,HM,2021-08-18 17:53:42,2021-08-18 17:54:15,S-O
35,Q,2021-08-18 17:56:16,2021-08-18 17:56:22,S
54,H,2021-08-18 17:56:40,2021-08-18 17:56:52,R
54,Q,2021-08-18 17:56:51,2021-08-18 17:56:57,S
B1,H,2021-08-18 17:57:36,2021-08-18 17:58:01,S-O
B1,H,2021-08-18 17:59:45,2021-08-18 18:00:02,R
54,W,2021-08-18 17:59:57,2021-08-18 18:00:02,R
54,Q,2021-08-18 18:01:21,2021-08-18 18:01:34,S
B2,H,2021-08-18 18:07:23,2021-08-18 18:07:41,W-O
B1,HM,2021-08-18 18:08:09,2021-08-18 18:08:17,S
35,H,2021-08-18 18:08:16,2021-08-18 18:09:00,O
35,H,2021-08-18 18:09:52,2021-08-18 18:10:07,S
34,H,2021-08-18 18:12:30,2021-08-18 18:14:02,W-O
56,A,2021-08-18 18:14:18,2021-08-18 18:14:42,O
W,B2,2021-08-18 18:14:38,2021-08-18 18:15:43,R-O
54,H,2021-08-18 18:15:25,2021-08-18 18:15:27,R
34,Q,2021-08-18 18:16:06,2021-08-18 18:16:26,S
B2,W,2021-08-18 18:16:53,2021-08-18 18:17:35,S
56,H,2021-08-18 18:17:37,2021-08-18 18:17:44,R
52,H,2021-08-18 18:17:51,2021-08-18 18:19:45,O
35,Q,2021-08-18 18:20:04,2021-08-18 18:20:20,S
34,H,2021-08-18 18:20:25,2021-08-18 18:20:53,F
35,Q,2021-08-18 18:24:53,2021-08-18 18:25:00,S
34,H,2021-08-18 18:25:19,2021-08-18 18:25:34,O
B1,Q,2021-08-18 18:25:44,2021-08-18 18:25:50,S
34,H,2021-08-18 18:25:55,2021-08-18 18:26:02,Cutlery
54,H,2021-08-18 18:26:14,2021-08-18 18:26:28,R
54,H,2021-08-18 18:29:15,2021-08-18 18:30:01,R-O
52,H,2021-08-18 18:30:08,2021-08-18 18:32:14,O
34,AO,2021-08-18 18:30:46,2021-08-18 18:30:58,S
56,H,2021-08-18 18:32:19,2021-08-18 18:32:24,R
55,H,2021-08-18 18:32:39,2021-08-18 18:33:09,O
36,H,2021-08-18 18:33:14,2021-08-18 18:33:21,O
55,H,2021-08-18 18:34:11,2021-08-18 18:34:17,W
36,H,2021-08-18 18:34:28,2021-08-18 18:34:34,W
54,H,2021-08-18 18:34:38,2021-08-18 18:34:46,C 
55,H,2021-08-18 18:35:49,2021-08-18 18:36:33,O
56,Q,2021-08-18 18:35:50,2021-08-18 18:36:00,O
34,Q,2021-08-18 18:36:36,2021-08-18 18:36:50,S
52,H,2021-08-18 18:36:53,2021-08-18 18:37:24,Cutlery - O
56,A,2021-08-18 18:39:10,2021-08-18 18:39:17,R
52,HM,2021-08-18 18:39:38,2021-08-18 18:40:04,S
35,H,2021-08-18 18:40:43,2021-08-18 18:41:15,O
52,AO,2021-08-18 18:42:01,2021-08-18 18:43:24,S
53,H,2021-08-18 18:42:06,2021-08-18 18:43:28,W
35,HM,2021-08-18 18:42:46,2021-08-18 18:43:08,S
55,H,2021-08-18 18:43:37,2021-08-18 18:45:35,O
B3,O,2021-08-18 18:43:48,2021-08-18 18:44:04,O
B2,O,2021-08-18 18:44:26,2021-08-18 18:44:30,F
52,Q,2021-08-18 18:44:43,2021-08-18 18:44:59,S
54,H,2021-08-18 18:45:38,2021-08-18 18:45:58,C
52,AO,2021-08-18 18:45:49,2021-08-18 18:46:26,S-R
36,H,2021-08-18 18:46:01,2021-08-18 18:47:10,F-O
55,W,2021-08-18 18:46:34,2021-08-18 18:46:41,S
B1,H,2021-08-18 18:47:24,2021-08-18 18:47:32,F-R
35,H,2021-08-18 18:48:23,2021-08-18 18:48:27,W
34,H,2021-08-18 18:48:30,2021-08-18 18:48:40,F-O
53,H,2021-08-18 18:48:48,2021-08-18 18:49:41,O
B1,W,2021-08-18 18:49:37,2021-08-18 18:49:50,S
56,H,2021-08-18 18:49:42,2021-08-18 18:49:52,C
56,H,2021-08-18 18:50:36,2021-08-18 18:51:11,C
36,Q,2021-08-18 18:52:37,2021-08-18 18:52:47,S
53,HM,2021-08-18 18:52:58,2021-08-18 18:53:22,S
B2,A,2021-08-18 18:53:53,2021-08-18 18:54:01,C
B2,A,2021-08-18 18:54:35,2021-08-18 18:54:41,W
35,H,2021-08-18 18:55:06,2021-08-18 18:55:13,S
B3,H,2021-08-18 18:55:26,2021-08-18 18:55:52,S-O-R
B3,Q,2021-08-18 18:56:09,2021-08-18 18:56:16,S
B2,O,2021-08-18 18:58:10,2021-08-18 18:58:54,O
15,HO,2021-08-18 17:22:06,2021-08-18 17:22:11,S
11,HO,2021-08-18 17:30:31,2021-08-18 17:31:49,W-O
16,HO,2021-08-18 17:32:21,2021-08-18 17:33:00,P
11,W,2021-08-18 17:35:46,2021-08-18 17:36:06,S
14,H,2021-08-18 17:39:29,2021-08-18 17:39:44,C
31,A,2021-08-18 17:40:37,2021-08-18 17:40:58,O
15,F,2021-08-18 17:41:02,2021-08-18 17:41:30,C
13,O,2021-08-18 17:41:11,2021-08-18 17:43:05,O
15,F,2021-08-18 17:43:13,2021-08-18 17:43:20,B
11,O,2021-08-18 17:43:47,2021-08-18 17:44:00,S
32,HO,2021-08-18 17:45:33,2021-08-18 17:45:46,S
13,O,2021-08-18 17:45:50,2021-08-18 17:46:01,R
13,O,2021-08-18 17:46:13,2021-08-18 17:46:16,Cutlery
14,O,2021-08-18 17:46:28,2021-08-18 17:46:37,R
15,HM,2021-08-18 17:46:42,2021-08-18 17:47:18,S
14,O,2021-08-18 17:47:00,2021-08-18 17:47:36,C
15,O,2021-08-18 17:47:37,2021-08-18 17:48:49,O
13,AO,2021-08-18 17:51:18,2021-08-18 17:51:57,S
13,H,2021-08-18 17:54:01,2021-08-18 17:54:08,S
11,Q,2021-08-18 17:54:38,2021-08-18 17:54:56,S
14,H,2021-08-18 17:56:11,2021-08-18 17:56:24,GUIDE TO TABLE
14,O,2021-08-18 17:57:39,2021-08-18 17:59:27,W-O
13,AO,2021-08-18 17:58:10,2021-08-18 17:58:18,S
13,O,2021-08-18 18:00:14,2021-08-18 18:00:34,O
15,O,2021-08-18 18:01:25,2021-08-18 18:03:02,O
13,HM,2021-08-18 18:02:05,2021-08-18 18:02:15,S
17,O,2021-08-18 18:03:56,2021-08-18 18:05:42,O
13,AO,2021-08-18 18:04:02,2021-08-18 18:04:09,S
15,HM,2021-08-18 18:05:22,2021-08-18 18:06:22,S
14,H,2021-08-18 18:05:43,2021-08-18 18:06:04,R
14,H,2021-08-18 18:06:17,2021-08-18 18:06:25,P
17,O,2021-08-18 18:06:33,2021-08-18 18:07:00,O
11,O,2021-08-18 18:07:18,2021-08-18 18:07:40,O-R
17,HM,2021-08-18 18:09:09,2021-08-18 18:10:03,S
11,AO,2021-08-18 18:09:29,2021-08-18 18:09:45,S
15,O,2021-08-18 18:10:20,2021-08-18 18:10:27,S
13,O,2021-08-18 18:10:30,2021-08-18 18:10:36,R
14,O,2021-08-18 18:12:40,2021-08-18 18:15:23,F-O
15,W,2021-08-18 18:14:03,2021-08-18 18:14:11,S
12,O,2021-08-18 18:15:42,2021-08-18 18:16:18,W-O
15,AO,2021-08-18 18:15:53,2021-08-18 18:16:02,S
32,O,2021-08-18 18:16:48,2021-08-18 18:18:09,O-R
15,Q,2021-08-18 18:16:55,2021-08-18 18:17:15,O
12,AO,2021-08-18 18:19:02,2021-08-18 18:19:36,S
13,O,2021-08-18 18:19:27,2021-08-18 18:19:30,R
17,O,2021-08-18 18:19:38,2021-08-18 18:22:08,O
14,AO,2021-08-18 18:22:32,2021-08-18 18:22:48,S
32,HM,2021-08-18 18:22:49,2021-08-18 18:23:06,S
32,AO,2021-08-18 18:23:05,2021-08-18 18:23:20,S
14,HM,2021-08-18 18:23:21,2021-08-18 18:23:25,F-O
11,O,2021-08-18 18:23:35,2021-08-18 18:24:32,F
17,Q,2021-08-18 18:24:19,2021-08-18 18:24:33,R
15,Q,2021-08-18 18:24:42,2021-08-18 18:24:54,S
17,Q,2021-08-18 18:27:12,2021-08-18 18:27:22,S
14,O,2021-08-18 18:29:36,2021-08-18 18:29:48,S
12,O,2021-08-18 18:29:55,2021-08-18 18:31:40,F
17,HM,2021-08-18 18:30:09,2021-08-18 18:30:31,S
15,O,2021-08-18 18:32:09,2021-08-18 18:33:05,O
15,O,2021-08-18 18:35:10,2021-08-18 18:36:33,O
17,AO,2021-08-18 18:35:32,2021-08-18 18:35:45,S
17,Q,2021-08-18 18:36:27,2021-08-18 18:36:51,S
13,O,2021-08-18 18:36:38,2021-08-18 18:38:16,F-R
17,Q,2021-08-18 18:37:38,2021-08-18 18:37:57,F
13,O,2021-08-18 18:39:09,2021-08-18 18:39:22,C
12,O,2021-08-18 18:39:25,2021-08-18 18:39:37,R
15,AO,2021-08-18 18:39:47,2021-08-18 18:40:26,F
12,O,2021-08-18 18:40:14,2021-08-18 18:40:22,Cutlery
15,HM,2021-08-18 18:40:42,2021-08-18 18:41:30,S
12,AO,2021-08-18 18:41:02,2021-08-18 18:41:11,O
13,O,2021-08-18 18:42:18,2021-08-18 18:42:27,C
11,O,2021-08-18 18:42:29,2021-08-18 18:42:41,R
12,W,2021-08-18 18:43:17,2021-08-18 18:43:32,S
11,Q,2021-08-18 18:43:44,2021-08-18 18:43:50,S
17,BM,2021-08-18 18:44:21,2021-08-18 18:44:50,S
